"adm_ph_shop_price_per_unit","Preis/Einheit","price/unit",,,"Cena jednostkowa","Preţ/Unitate",
"adm_ph_shop_price_until_end_of_contract","Gesamtpreis bis zum Vertragsende","Total amount by the end of contract",,,"Wartość całkowita do zakończenia umowy","Preţ total până la terminarea contractului",
"adm_ph_shop_product_has_been_put_into_basket","Das Produkt wurde erfolgreich in den Warenkorb gelegt!","The product has been successfully added to your shopping cart",,,"Produkt został pomyślnie dodany do koszyka!","Produsul a fost pus în coş cu succes!",
"adm_ph_shop_put_into_basket","In den Warenkorb ...","Into shopping cart",,,"Dodaj do koszyka ...","În coş ...",
"adm_ph_shop_rebate_new_price","Neuer Preis","New price",,,"Nowa cena","Preţ nou",
"adm_ph_shop_seats_bought_until_now","Bisher gekaufte Plätze","Seats that have been bought up to now",,,"Zakupione dotąd miejsca","Locurile cumpărate până acum",
"adm_ph_shop_thank_your_for_your_order","Vielen Dank für Ihre Bestellung!","Thank you for your order!",,,"Dziękujemy za dokonanie zamówienia!","Vă mulţumim pentru comanda efectuată!",
"adm_ph_shop_thank_your_for_your_order_2","Die gewünschten Funktionen und Kontingente wurde soeben erfolgreich freigeschalten bzw. wird sich ein Kundenbetreuer mit Ihnen in Verbindung setzen.",,,,"Zamówione funkcje i pakiety zostały właśnie pomyślnie udostępnione lub też skontaktuje się z Państwem doradca.","Funcţiunile şi contigentele dorite au fost eliberate. Un consultat vă va contacta!",
"adm_ph_shop_trial_check_and_order","Bitte ueberpruefen Sie Ihre Angaben.<br>Klicken Sie danach auf ""Bestellen"" um die Bestellung auszufuehren.","Please check your specifications.<br>
Click on „order“ to proceed","Zkontrolujte prosím Vaše údaje.<br>Pro provedení objednávky klikněte prosím na 'objednat'.",,"Sprawdź swoje dane.<br>Następnie wybierz polecenie „Zamów”, aby złożyć zamówienie.","Vă rugăm sa verificaţi datele introduse.<br> Şi apoi faceţi clic pe ""Comandă"", pentru a efectua comanda dorită.",
"adm_ph_shop_trial_confirm","Bestätigen","Confirm","Potvrdit",,"Potwierdź","Confirmare",
"adm_ph_shop_trial_finish_order","Bestellung abschliessen ...","Complete order ","Uzavřít objednávku ...",,"Zamknij zamówienie…","Încheiere comandă ...",
"adm_ph_shop_trial_ready","Fertigstellung","Completion","Dokončit",,"Zakończ","Terminare",
"adm_ph_shop_trial_select_accounts","Konten auswählen","Select accounts","Vybrat účty",,"Wybierz konta","Selectare conturii",
"adm_ph_shop_trial_to_delete","Zu löschende Konten","Accounts to be deleted","Konta ke smazání",,"Konta do usunięcia","contacte de şters",
"adm_ph_shop_units","Stückzahl","Number of units",,,"Ilość sztuk","Număr unităţi",
"adm_ph_show_disabled_too","auch deaktivierte zeigen","Also show deactivated","Také zobrazit deaktivované",,"pokaż również nieaktywne","arată şi cele dezactivate",
"adm_ph_show_interested_parties","Interessenten anzeigen ...","Show prospects ",,,"Pokaż potencjalnych klientów ...","Indică clineţi de viitor ...",
"adm_ph_show_licence_status","Lizenzstatus anzeigen ...","Show license status","Zobrazit stav licence ...",,"Pokaż status licencji…","Arată situaţia licenţei ...",
"adm_ph_show_pdf_now","PDF jetzt anzeigen ...","Show PDF now","Zobrazit nyní PDF ...",,"Wyświetl teraz PDF…","Arată acum PDF ...",
"adm_ph_show_security_log","Security Logbook anzeigen ...","Show security logbook","Zobrazit bezpečnostní seznam přihlášení",,"Pokaż dziennik logów bezpieczeństwa…","Arată cartea de log-uri de securitate ...",
"adm_ph_show_user_usage","Nutzungsverhalten anzeigen ...","Show user pattern","Zobrazit chování uživatele ...",,"Pokaż przebieg użytkowania…","Arată atitudinea folosiri ...",
"adm_ph_signup_free_testdrive","Klicken Sie hier um das Produkt kostenlos 30 Tage zu testen.","Click here for a 30 day free trial period","Otestujte si InBox.cc - 30 dní bezplatně. Klikněte zde.",,"Testuj InBox.cc 30 dni bezpłatnie, kliknij tutaj.","Apăsaţi aici pentru folosirea şi testarea gratuită timp de 30 zile a InBox.cc. ",
"adm_ph_single_seat","Einzelplatz","Single user",,,"Miejsce jednostkowe","un singur loc",
"adm_ph_statistics_and_reporting","Statistik & Reporting","Statistics & reporting","Statistika & Reporting",,"Statystyka i raporty","Statistică & Rapoarte",
"adm_ph_superior_group","Übergeordnete Gruppe","Superiour group",,,"Grupa nadrzędna","Grupa supraordonată",
"adm_ph_telephone_numer","Telefonnummer","Telephone number","Telefonní číslo",,"Numer telefonu","Numere telefon",
"adm_ph_title_main","Shop & Administration","Shop & administration","Obchod & Správa",,"Sklep i administracja","Shop & Administrare",
"adm_ph_transparent_reseller_hint_shop","Dieser Kunde wird direkt ueber den Partner abgerechnet - es wird daher keine Rechnung erstellt!","This customer will be charged through the partner (company)-therefore there will be no billing",,,,"Clientul va fi facturat direct de către partener, de aceea nu se va face o factură!",
"adm_ph_trial_end_date_hint","nur notwendig wenn Status Interessent; Standard = 30 Tage","Only necessary if status is prospect; standard = 30 days",,,"Konieczne tylko przy statusie potencjalnego klienta; standard = 30 dni","necesear numai în stare de client; Standard = 30 de zile",
"adm_ph_uid_number","UID-Nummer","UID number","DIČ",,"Numer UID","Număr C.U.I.",
"adm_ph_user_deactivated_hint_redirect","Die E-Mail Adresse ist noch weiter aktiv - richten Sie diesbezueglich eine Umleitung ein!","This email address is still activated-set up a redirection in this regard","E-mailová adresa je nadále aktivní - vytvořte prosím odpovídající přesměrování.",,"Adres e-mail jest wciąż jeszcze aktywny – ustaw odpowiednie przekierowanie!","Adresa de E-Mail mai este activă - din acest motiv vă rugăm să creaţi o redirecţionare!",
"adm_ph_user_delete_action_for_data","Was soll mit den Daten des Benutzers (E-Mails, Termine, Kontakte, Wiedervorlagen usw) passieren?",,,,,"Ce trebuie să se întâmple cu datele utilizatorului? (E-Mail, Întâlniri, Contacte, Urmăriri, etc.)",
"adm_ph_user_delete_action_for_data_export","Datenexport ablegen im Konto (ZIP-File in der Dateiablage mit allen Daten):","Save export of all data in storage (Zipped in an archive)",,,,"Punerea datelor exportate în cont:",
"adm_ph_user_delete_action_for_data_ignore","nichts, verwerfen","Nothing, ignore",,,,"nu respinge",
"adm_ph_user_delete_action_for_data_move","Daten verschieben zum Konto:","Move data to account",,,,"Deplasare date spre cont:",
"adm_ph_user_delete_action_hint_move_data","verschoben werden: Kontakte, Termine, Wiedervorlagen & Aufgaben. Der Datenexport findet zusätzlich statt.",,,,,"deplasate vor fi: contactele, întalnirile, schiţele şi sarcinile. Exportul datelor se realizează suplimentar.",
"adm_ph_user_delete_are_you_sure","Sind Sie sicher, dass Sie den Benutzer %USER% löschen wollen?","Are you sure you want to delete %user%?","Jste si jisti, že chcete odstranit uživatele %USER%?",,"Czy na pewno chcesz usunąć użytkownika %USER%?","Sunteţi sigur că doriţi steregerea utilizatorului %USER% ?",
"adm_ph_user_delete_not_sure","Nein, nicht löschen","No, don´t delete","Ne, nemazat",,"Nie, nie usuwaj","Nu, nu şterge",
"adm_ph_user_delete_sure","Ja, Benutzer jetzt löschen","Yes, delete user now","Ano, nyní smazat (smazat všechna data uživatele)",,"Tak, usuń teraz (usuń wszystkie dane użytkownika)","Da, şterge acum (toate datele utilizatorului vor fi şterse)",
"adm_ph_user_enabled","Benutzer wurde wieder aktiviert.","User has been activated again","Uživatel byl opět aktivován",,"Użytkownik został ponownie aktywowany.","Utilizatorul a fost reactivat.",
"adm_ph_user_exists","Benutzer vorhanden","Existing user",,,"Użytkownik istnieje","utilizator existent",
"adm_ph_user_group_administration","Benutzer- und Gruppenverwaltung","User and group administration","Správa uživatele a skupin",,"Organizowanie użytkowników i grup","Utilizator- şi administrator de grupe",
"adm_ph_user_has_been_deactivated","Benutzer wurde deaktiviert.","User has been deactivated","Uživatel byl deaktivován",,"Użytkownik został dezaktywowany.","Utilizatorul a fost dezactivat!",
"adm_ph_user_has_been_deleted","Benutzer wurde geloescht","User has been deleted","Uživatel byl odstraněn",,"Użytkownik został usunięty","Utilizatorul a fost şter!",
"adm_ph_user_interface","Zur Benutzerumgebung wechseln ...","Change to interface","InBox.cc Prostředí uživatele",,"Środowisko użytkownika InBox.cc","Mediul utilizatorului InBox.cc",
"adm_ph_use_this_form_for_first_order","Ihre erste Bestellung müssen Sie auf dem folgenden Formular abgeben:","Please kindly use the following form to place your first order: ","Vaši první objednávku je nutno provést pomocí následujícího formuláře.",,"Pierwszego zamówienia musisz dokonać przy użyciu poniższego formularza:","Prima comandă efectuata de dvs. trebuie scrisă pe următorul formular:",
"adm_ph_web_self_registration","Web-Self-Registrierung","Web self registration","Vlastní webová registrace",,"Samodzielna rejestracja internetowa","Înregistrare-Web-Self",
"adm_ph_welcome","Willkommen im Administrations- und Shop-Bereich!","Welcome to the administration and shop area/tool","Vítejte v administrativních nástrojích InBox.cc.",,"Witaj w Panelu administracyjnym InBox.cc!","Bine aţi venit în administrator-tool al InBox.cc!",
"adm_ph_welcome_to_the_admintool","Willkommen im Administrations- und Shop-Bereich!","Welcome to the administration and shop area/tool",,,"Witamy w panelu administracyjnym InBox.cc!","Bine aţi venit în InBox.cc administrator-tool!",
"adm_ph_workgroups_add_members","Gruppenmitglieder hinzufügen","Add group members",,,"Dodaj członków grupy","Inserare membrul grupei",
"adm_ph_workgroups_add_new_member","Weiteren Benutzer zu dieser Arbeitsgruppe hinzufügen ...","Add additional user to this work group",,,"Dodaj kolejnego użytkownika do tej grupy roboczej ...","Iserarea a altor utilizatori la această grupă de lucru ...",
"adm_ph_workgroups_subgroups","Untergruppen","Subgroups",,,"Podgrupy","Grupe subordonate",
"adm_ph_workgroups_subgroup_of","Untergruppe von","Subgroup of",,,"Podgrupa do","Gupa subordonată de la",
"adm_ph_workgroup_short_name","Kurzbezeichnung","Short term",,,"Nazwa skrócona","Descriere pe scurt",
"adm_ph_workgroup_short_name_max_12_chars","max 12 Zeichen","Maximum 12 characters",,,"maks. 12 znaków","maxim 12 semne",
"adm_ph_your_current_points","Ihr aktueller Punktestand","Your current amount of points",,,,"Situaţia actuală a punctelor",
"adm_ph_your_customer_id","Ihre Kundennummer","Your customer id","Vaše zákaznické číslo",,"Twój numer klienta","Numărul dvs. de client",
"adm_ph_your_partner_for_questions","Ihr Ansprechpartner für Fragen und Bestellungen","Your contact person for questions and orders",,,"Państwa osoba do kontaktów w razie pytań i zamówień","Persoana de contact pentru informaţii şi comenzi",
"adm_ph_your_uid_no","Ihre UID-Nummer","Your UID number","Vaše UID-číslo",,"Twój numer UID","Număr C.U.I. al dvs.",
"adm_ph_you_are_in_trial","Sie befinden sich in der Testphase.",,,,"Znajdują się Państwo w okresie testowym","Vă aflaţi în faza de testare",
"adm_ph__accounts_show_add_edit_delete","anzeigen/hinzufügen/editieren/löschen","show/add/edit/delete","zobrazit/přidat/editovat/smazat",,"wyświetl/dodaj/edycja/usuń","Vizualizare/Inserare/Editare/Ştergere",
"adm_wd_accounts","Konten","Accounts","Konta","Konta","Konta","Conturi",
"adm_wd_activate_again","Wieder aktivieren","Activate again","Znovu aktivovat",,"Aktywuj ponownie","Activaţi din nou",
"adm_wd_add","Hinzufügen","Add additional user to this work group","Přidat",,"Dodaj…","Inserare",
"adm_wd_additional_information","Sonstiges","Additional information/miscellaneous","Ostatní",,"Inne","Altele",
"adm_wd_address","Adresse","Address","Adresa",,"Adres","Adresă",
"adm_wd_add_comment","Hinzufügen ...","Add...","Přidat ...",,"Dodaj…","Inserare ...",
"adm_wd_administrators","Administratoren","Administrators","Administrátor",,"Administratorzy","Administratori",
"adm_wd_basket","Warenkorb",,"Košík",,"Koszyk","Coş produse",
"adm_wd_basket_selected_products","Bisher ausgewählte Produkte","Selected products as yet","Dosud vybrané produkty",,"Wybrane dotychczas produkty","Produsele selectate până acum",
"adm_wd_comment","Kommentar","Comment","Komentář",,"Komentarz","Comentar",
"adm_wd_customer","Kunde","Customer ","Zákazník",,"Klient","Client",
"adm_wd_customers","Kunden","Customers","Zákazníci",,"Klienci","Clienţi",
"adm_wd_deactivate","Deaktivieren ...","Deactivate","Deaktivovat ...",,"Dezaktywuj…","Dezactivare ...",
"adm_wd_delete_user","Benutzerkonto komplett auflösen","Completely delete user account","Konto uživatele kompletně odstranit",,"Rozwiąż całkowicie konto użytkownika","Ştergerea completă a conturilor clienţi",
"adm_wd_distributor","Distributor","Distributor","Distributor",,"Dystrybutor","Distributor",
"adm_wd_duration","Laufzeit","Duration","Platnost",,"Okres ważności","Valabilitate",
"adm_wd_duration_auto","automatisch bis zum Ende der Gesamtlaufzeit","Automatically until the end of duration","Automaticky až po ukončení platnosti",,"Automatycznie do końca łącznego okresu ważności","automat pînă la sfârşitul perioadei",
"adm_wd_expiration","Ablauf","Expiration","Průběh",,"Termin upływa","Expirare",
"adm_wd_invoice","Rechnung","Invoice","Faktura",,"Rachunek","Factură",
"adm_wd_invoice_number","Nummer","Number of units","Číslo",,"Numer","Număr",
"adm_wd_invoice_paid","Bezahlt","Paid","Zaplaceno",,"Zapłacono","Plătit",
"adm_wd_invoice_sum","Summe in &euro;","Amount in €","Suma v &euro; ",,"Suma w &euro;","Sumă în &Euro;",
"adm_wd_licences","Lizenzen","Licences","Licence",,"Licencje","Licenţă",
"adm_wd_logbook","Logbuch","Logbook","Kniha přihlášení",,"Dziennik logów","Carte log-ări",
"adm_wd_logins","Logins","Logins","Přihlášení",,"Logowania","Logins",
"adm_wd_na","keine Angabe","Not applicable (n/a)","Žádné údaje",,"brak danych","Fără detaliu",
"adm_wd_name_company_private","Name (Firma/Privat)","Name (company/private)","Jméno (firemní/soukromé)",,"Nazwa (firma/osoba prywatna)","NUME (Firmă/Personal)",
"adm_wd_nav_interested_parties","Interessenten","Prospects","Účastník",,"Osoby zainteresowane","Viitori clienţi",
"adm_wd_nav_new","Neu","New","Nový",,"Nowy","Nou",
"adm_wd_nav_search","Suchen","Search","Hledat",,"Znajdź","Căutare",
"adm_wd_nav_shop","Shop","Shop","Shop / obchod",,"Sklep","Shop",
"adm_wd_partner","Partner","Partner","Partner",,"Partner","Partener",
"adm_wd_partners","Partner","Partners",,,"Partner","Partener",
"adm_wd_partner_description","Statistik/Verwaltung der Partner","Partner statistics and administration","Statistika/Správa partnera",,"Statystyka/administracja partnerów","Statistică/Administrare parteneri",
"adm_wd_proceed","Weiter ...","Proceed","Dále ...",,"Dalej…","mai departe ...",
"adm_wd_quantity","Menge","Quantity","Množství",,"Ilość","Cantitate",
"adm_wd_quota","Quota","Quota","Kvóta",,"Przydział","Cotă",
"adm_wd_rating","Rating","Rating","Rating",,"Ocenianie","Evaluare",
"adm_wd_rating_default","normal","Normal","standardní",,"zwykłe","normal",
"adm_wd_rating_import","wichtig","Important","důležitý",,"ważne","important",
"adm_wd_rating_not_important","niedrig","Low ","nízký",,"niskie","josnic",
"adm_wd_recommended","empfohlen","Recommended","doporučeno",,"zalecane","Recomandat",
"adm_wd_reporting","Reporting","Reporting","Raporting/zpravodajství",,"Raporty","Raport",
"adm_wd_required","erforderlich","Required","nutný",,"wymagane","necesar",
"adm_wd_role","Rolle","Role ","Role",,"Rola","Rol",
"adm_wd_roles","Rollen","Roles","Role","role","Role","Roluri",
"adm_wd_secretary_assistant","AssistentIn","Assistent","Asistent(ka)",,"Asystent(ka)","Asistent(ă)",
"adm_wd_secretary_assistant_description","Diese Person erstellt für
	den Benutzer die Eintrage","This person creates the user´s entries","Tato osoba tvoří záznamy pro uživatele",,"Ta osoba tworzy wpisy dla użytkownika","Această persoană crează înregistrările pentru utilizator",
"adm_wd_secretary_boss","Vorgesetzter","Supervisor","Nařízený",,"Przełożony","Superiori",
"adm_wd_settlement","Verrechnung","Settlement",,,,"Facturare",
"adm_wd_shop","Shop","Shop","Obchod",,"Sklep","Shop",
"adm_wd_shop_add","Hinzufügen","Add","Přidat",,"Dodaj","Inserare",
"adm_wd_shop_beginning_with","ab","starting at","Od",,"od","de",
"adm_wd_shop_group","Gruppe","Group","Skupina",,"Grupa","Grupă",
"adm_wd_shop_rebate","Rabatt","Discount",,,"Rabat","Reducere",
"adm_wd_statistics","Statistik","Statistics ","Statistika",,"Statystyka","Statistică",
"adm_wd_sum","Summe","Amount","Suma",,"Razem","Sumă",
"adm_wd_tipp","TIPP","TIPP","Tip",,"WSKAZÓWKA:","""TIPP""",
"adm_wd_total","insgesamt","Total","celkem",,"łącznie","în întregime",
"adm_wd_type","Typ","Type","Typ",,"Typ","Tip",
"adm_wd_type_organization","Organisation","Organization","Organizace",,"Organizacja","NUME FIRMĂ",
"adm_wd_type_private","Privat","Private","Soukromé",,"Prywatne","Personal",
"adrb_categories_all","Alle","All","Všechno","všechno","Wszystkie","Toţi / Toate",
"adrb_crm_ph_add_activity","Aktivität hinzufügen ...","Add activity","Přidat aktivitu","pridat aktivitu","Dodaj aktywność...","Inserare activitate",
"adrb_crm_ph_dear_madame","Sehr geehrte Frau","Dear madame","Vážená paní","Vážená paní","Szanowna Pani","Stimată doamnă ",
"adrb_crm_ph_dear_sir","Sehr geehrter Herr","Dear Sir","Vážený pane","Vážený pane","Szanowny Panie","Stimate domn",
"adrb_ph_actions_add_to_mailinglist","Zu einer einfachen Verteilerliste hinzufügen","Add to mailing list","Připojit k rozdělovníku","Pripojit k rozdelovníku","Dodać do listy rozdzielnika","Inserare la lista de mail-uri",
"adrb_ph_actions_compose_mail","Neues E-Mail verfassen","Compose new email","Napsat nový E-mail","Napsat nový E-mail","Napisz e-maila","Compune un nou E-Mail",
"adrb_ph_actions_email","Eine neue E-Mail senden","Send email","Poslat E-mail","Poslat E-mail","Wyślij e-maila","Trimite un E-Mail",
"adrb_ph_actions_export","Exportieren als CSV","Export (CSV)",,,,"Export (CSV)",
"adrb_ph_actions_forward","Kontaktdaten per E-Mail/SMS weiterleiten ...","Forward contact via email/sms","Předat kontakt  E-mailem/SMS","Predat kontakt  E-mailem/SMS","Kontakt dalej skierować przez e-mail/SMS","Redirecţionare informaţii contact per E-Mail/SMS",
"adrb_ph_actions_newsletter","Als Abonnent zu einem Newsletter hinzufügen","Add as subscriber to a newsletter",,,,"Inserare pentru Newsletter",
"adrb_ph_actions_remoteedit","Kontakte Daten selbst editieren lassen (RemoteEdit)","Let contacts edit data themselves(remote edit)","Editace dat kontaktem (RemoteEdit)","editace dat kontaktu (RemoteEdit)","Edytuj dane kontakty samodzielnie (Remote Edit)","Editează singur datele contactului (RemoteEdit)",
"adrb_ph_actions_setcriteria","Gemeinsame Attribute setzen",,,,,"Impunerea atributelor globale",
"adrb_ph_actions_share","Freigeben für eine Arbeitsgruppe","Share with workgroup","Uvolněno pro pracovní skupinu","Uvolneno pro pracovní skupinu","Zwolnić dla grupy roboczej","Permisiune pentru grupa de lucru",
"adrb_ph_action_pleaseselect","(bitte auswaehlen)","(please select)","Vyberte si","Zvolit prosím","(proszę wybrać)","(vă rugăm selectaţi)",
"adrb_ph_action_remoteedit","Remote Edit","Remote edit","Remote Edit","Remote Edit","Remote Edit","Remote Edit",
"adrb_ph_action_remoteedit_description","Kontakt seine Daten selbst editieren lassen","Let contact edit data itself","Editovat data kontaktem","nechat editovat data kontaktu","Kontakt dane edytować","Editare date contact",
"adrb_ph_advanced_search","Erweiterte Suche","Advanced search",,,,"Căutare avansată",
"adrb_ph_already_used_outlooksync","Haben Sie bereits Ihre Outlook-Daten mit InBox.cc abgeglichen?","Did you already synchronise your Outlook data with InBox.cc?","Provedli jste synchronizaci dat v Outlook s daty InBox.cc?","provedli jste synchronizaci Vašeho Outlooku s daty InBox.cc.?","Czy  wyrównał pan/i swoje dane Outlook z InBoxcc?","V-aţi sincronizat datele -Outlook cu InBox.cc ?",
"adrb_ph_archive_items_found","%RECORDCOUNT% Archiv-Eintrage gefunden","%recordcount% archive entries found","%RECORDCOUNT% nalezeny archivní záznamy","%RECORDCOUNT% nalezeny archivní záznamy","Znaleziono archiwum wpisów  %RECORDCOUNT%","%RECORDCOUNT% găsire contacte-arhivă",
"adrb_ph_birthdaylist_description","Hier finden Sie eine Liste aller Eintrage in Ihrem Adressbuch bei denen ein Geburtsdatum angegeben wurde.",,"Zde najdete seznam všech záznamů ve vašem adresáři, ve kterých bylo zadáno datum narození.","Zde najdete seznam všech záznamu ve vašem adresári ve kterém bylo zadáno datum narození.","Tu znajdziesz listę wszystkich wpisów w swojej książce adresowej, przy których zostala podana data urodzin.","Aici găsiţi toate contactele introduse în contacte, care deţin o zi de naştere.",
"adrb_ph_birthday_next_in","den naechsten in ...","Next birthday on (in)","Príští v ....","príští v ....","następny w …","următorul în ...",
"adrb_ph_business_data","Geschäftliche Daten","Business data","Obchodní data","obchodní data","Dane firmowe","DATELE FIRMEI",
"adrb_ph_by_email_or_sms","per E-Mail oder SMS","By email or sms","Zaslat e-mailem nebo SMS","zaslat e-mailem nebo SMS","za pomocą e-maila lub SMS","per E-Mail sau SMS",
"adrb_ph_click_here_to_create_new_contact","Klicken Sie bitte hier um einen neuen Kontakt anzulegen ...","Click here to create a new contact","Pro vytvoření nového kontaktu klikněte zde","pro vytvorení nového kontaktu kliknete zde","Proszę kliknąć tu w celu utworzenia nowego kontaktu","Clic aici pentru crearea unui nou contact ...",
"adrb_ph_contact_data","Kontaktdaten",,,,,"Datele contactului",
"adrb_ph_contact_data_saved","Die Kontaktdaten wurden gespeichert.",,,,,"Datele contactului au fost memorate",
"adrb_ph_contact_is_archive_item","dieser Eintrag ist ein Archiv-Eintrag","This entry is an archive item","Tento záznam je archivní záznam","tento záznam je archivní záznam","ten wpis jest wpisem archiwalnym","Acest contact este arhivat",
"adrb_ph_createdbyandworkgroup","Eintrag wurde angelegt von %username% und für die Arbeitsgruppe %workgroupname% freigegeben.","Entry has been created by %username% and has been approved for workgroup %name%","Kontakt byl uložen %username% a uvolněn pro pracovní skupinu %workgroupname%","kontakt byl uložen a uvolnen pro pracovní skupinu","Wpis został umieszczony przez %username% i zwolniony dla grupy roboczej %workgroupname%","Contactul a fost creat ca %username% şi permis pentru grupa de lucru %workgroupname% .",
"adrb_ph_create_new_account","Neue Organisation erstellen ...",,,,,,
"adrb_ph_create_new_lead","Neuen Interessenten anlegen ...",,,,,,
"adrb_ph_create_new_contact","Neuen Kontakt erstellen ...","Create new contact","Vytvořit nový záznam","vytvorit nový záznam","Utworzenie nowych kontaktów","Crează un nou contact ...",
"adrb_ph_create_new_subcontact","Neuen untergeordneten Kontakt anlegen ...","Create new subcontact",,,,"Crearea unui nou contact subordonat ...",
"adrb_ph_delete_contacts","Kontakte löschen ...","Delete contacts","Smazat kontakt","smazat kontakt","Kontakty usunąć","Şterge contactele ...",
"adrb_ph_delete_contacts_goto_overview","Jetzt zur Übersicht wechseln ...","Go to summary","K přehledu ...","k prehledu","do  przeglądu","spre sumar ...",
"adrb_ph_delete_contacts_no_go_back","Nein, zurück","No, go back","Ne, zpět","ne, zpet","Nie, z powrotem","Nu, înapoi",
"adrb_ph_delete_contacts_success","Kontakte/Organisationen erfolgreich gelöscht.","Contacts/accounts successfully deleted","Kontakt byl úspěšně smazán.","kontakt byl úspešne smazán","Kontakty skasowane skutecznie","Contactul a fost cu succes şters.",
"adrb_ph_delete_contacts_sure","Sind Sie sicher, dass Sie die Kontakte/Organisationen löschen möchten?","Are you sure you want to delete the contacts/accounts?","Má být kontakt skutečně odstraněn?","Má být kontakt skutecne odstranen?","Czy jesteś pewien","Sunteţi sigur că doriţi să ştergeţi contactele",
"adrb_ph_delete_contacts_yes_delete_now","Ja, jetzt löschen","Yes, delete now","Ano, odstranit","ano, odstranit","Tak, teraz usunąć","Da, şterge acum.",
"adrb_ph_delete_item_description","Diesen Adressbuch-Eintrag löschen","Delete this address book entry","Odstranit tento kontakt v adresáři","tento kontakt v adresári odstranit","Usunąć ten wpis w książce adresowej","Şterge acest contact",
"adrb_ph_dt_last_remote_edit","Letztes Remote Edit","Last remote edit",,,,"Data ultimei RemoteEdit",
"adrb_ph_edit_contact","Kontakt editieren","Edit contact","Editace kontaktu","editace kontaktu","Edytuj kontakt","Editare contact",
"adrb_ph_email_further","E-Mail (weitere)","Email (further)",,,,,
"adrb_ph_email_prim","E-Mail (primär)","Email (primary)","E-mail (primární)","E-mail (primární)","Najpierw e-mail","E-Mail (primară)",
"adrb_ph_enable_remoteedit","RemoteEdit aktivieren","Activate remote edit","Aktivovat RemoteEdit","aktivovat RemoteEdit","Aktywuj RemoteEdit","Activare RemoteEdit",
"adrb_ph_error_no_contacts_selected","Keine Kontakte ausgewählt.","No contacts selected","Nebyl vybrán žádný kontakt","nebyl vybrán žádný kontakt","Nie wybrano żadnych kontaktów","Nu aţi selectat nici un contact.",
"adrb_ph_error_no_recipient_address_entered","Sie haben keine gueltige Empfaengeradresse eingegeben","You have entered an invalid addressee","Nebyla zadána platná adresa příjemce.","nebyla zadána platná adresa príjemce","Podano nieodpowiedni adres odbiorcy","Adresa destinatarului este incorectă",
"adrb_ph_filter_private_only","nur private Einträge","Private entries only","Jen soukromé záznamy","jen soukromé záznamy","tylko prywatne wpisy","numai înregistrări personale",
"adrb_ph_forwardexport","Kontakt weiterleiten oder exportieren","Forward or export contact","Předat nebo odeslat kontakt","predat nebo odeslat kontakt","Kontakt przekazać dalej lub wykonać???","Exportare/Redirecţionare contacte",
"adrb_ph_forward_success_body","Die Kontaktdaten wurden erfolgreich per E-Mail oder SMS weitergeleitet.","The contact data has been successfully forwarded by email or sms","Data kontatku byla úspěšně odeslána e-mailem nebo SMS.","data kontatku byly úspešne odeslána e-mailem nebo SMS","Dane kontaktowe przekazano skutecznie za pomocą e-maila lub SMS","Datele contactului au fost redirecţionate cu succes per E-Mail/SMS",
"adrb_ph_forward_success_header","Kontaktdaten erfolgreich weitergeleitet","Contact data successfully forwarded","Data kontaktu byla úspěšně odeslána","data kontaktu byla úspešne odeslána","Przekazano dalej skutecznie dane kontaktowe","Date contact cu succes redirecţionate",
"adrb_ph_fulltext_search","Volltextsuche (langsamer)",,,,,"Căutare text complet (încet)",
"adrb_ph_further_data_and_properties","Weitere Daten & Eigenschaften","Further data & properties","Další data a vlastnosti","další data a vlastnosti","Inne dane i właściwości","Mai multe date & proprietăţi",
"adrb_ph_importexampels","Outlook, Outlook Express, VCard, Web.de, GMX, myDay.cc, ...","Outlook,outlook Express, Vcard,Web.de,GMX,myDay.cc","Outlook, Outlook Express, Vcard, Web.de, GMX, myDay.cc,……","Outlook, Outlook Express, Vcard, Web.de, GMX, myDay.cc,……","Outlook, Outlook Express, VCard, Web.de, GMX, myDay.cc, ... ","Outlook, Outlook Express, VCard, Web.de, GMX, myDay.cc, ...",
"adrb_ph_importexport","Import/Export/Abgl.","Import/export/","Import/Export/Synchronizace","Import/Export/synchronizace","Import/Export/Abgl.","Import/Export/Sincronizare",
"adrb_ph_last_contact","Letzter Kontakt","Last contact",,,,"Ultimul contact",
"adrb_ph_last_edited","zuletzt editieren","Edit at last","Editovat","editovat","na końcu  edytować","ultima oară editat",
"adrb_ph_link_remote_edit","Daten - Vervollständigung durch den Kontakt","Data completion through contact","Doplnění dat kontaktem","data - doplnení pres kontakt","Uzupełnienie danych przez kontakt","Date - actualizate de către contact",
"adrb_ph_lists_personal_mail","Private Nachricht zukommen lassen","Send private message","Přijmout osobní zprávu","Prijmout osobní zprávu","Przesałać prywatna wiadomość","Permite primirea E-Mail-urilor personale",
"adrb_ph_mailinglists_delete_success","Die Liste wurde erfolgreich geloescht.","The list has been successfully deleted","Seznam byl úspěšně smazán.","Seznam byl úspešne smazán","Lista została usunięta  skutecznie","Lista a fost ştearsă cu succes.",
"adrb_ph_mailinglists_delete_sure","Sind Sie sicher, dass Sie diese Verteilerliste löschen wollen?","Are you sure you want to delete this mailing list","Má být skutečně smazán tento rozdělovník?","Má být skutecne smazán tento rozdelovník?","Czy jesteś pewien","Sunteţi sigur, că doriţi să ştergeţi această listă de mail-uri?",
